Model,AVX Frequency,AVX Turbo Boost,Core Count,Memory Speed,L3 Cache,QPI Speed,TDP (Watts)
E5-2699v3,1.90 GHz,3.30 GHz,18,2133 MHz,45MB,9.6 GT/s,145W
E5-2698v3,1.90 GHz,3.30 GHz,16,2133 MHz,40MB,9.6 GT/s,135W
E5-2697v3,2.20 GHz,3.30 GHz,14,2133 MHz,35MB,9.6 GT/s,145W
E5-2695v3,1.90 GHz,3.00 GHz,14,2133 MHz,35MB,9.6 GT/s,120W
E5-2683v3,1.70 GHz,2.70 GHz,14,2133 MHz,35MB,9.6 GT/s,120W
E5-2690v3,2.30 GHz,3.20 GHz,12,2133 MHz,30MB,9.6 GT/s,135W
E5-2680v3,2.10 GHz,3.10 GHz,12,2133 MHz,30MB,9.6 GT/s,120W
E5-2670v3,2.00 GHz,2.90 GHz,12,2133 MHz,30MB,9.6 GT/s,120W
E5-2687Wv3,2.70 GHz,3.50 GHz,10,2133 MHz,25MB,9.6 GT/s,160W
E5-2660v3,2.20 GHz,3.10 GHz,10,2133 MHz,25MB,9.6 GT/s,105W
E5-2650v3,2.00 GHz,2.80 GHz,10,2133 MHz,25MB,9.6 GT/s,105W
E5-2667v3,2.70 GHz,3.50 GHz,8,2133 MHz,20MB,9.6 GT/s,135W
E5-2640v3,2.20 GHz,3.40 GHz,8,1866 MHz,20MB,8 GT/s,90W
E5-2630v3,2.10 GHz,3.20 GHz,8,1866 MHz,20MB,8 GT/s,85W
E5-2643v3,2.80 GHz,3.50 GHz,6,2133 MHz,20MB,9.6 GT/s,135W
E5-2620v3,2.10 GHz,3.20 GHz,6,1866 MHz,15MB,8 GT/s,85W
E5-2637v3,3.20 GHz,3.60 GHz,4,2133 MHz,15MB,9.6 GT/s,135W
E5-2623v3,2.70 GHz,3.50 GHz,4,1866 MHz,10MB,8 GT/s,105W